id,species,file,abundance
Eubacterium_rectale_M104_1,Eubacterium_rectale,dbs/Eubacterium_rectale_M104_1.xml,6411.0
Anaerostipes_hadrus_DSM_3319,Anaerostipes_hadrus,dbs/Anaerostipes_hadrus_DSM_3319.xml,947.0
Roseburia_hominis_A2_183,Roseburia_hominis,dbs/Roseburia_hominis_A2_183.xml,642.0
Clostridium_bolteae_ATCC_BAA_613,Clostridium_bolteae,dbs/Clostridium_bolteae_ATCC_BAA_613.xml,279.0
Blautia_hansenii_VPI_C7_24_DSM_20583,Blautia_hansenii,dbs/Blautia_hansenii_VPI_C7_24_DSM_20583.xml,183.0
Ruminococcus_bicirculans_80_3,Ruminococcus_bicirculans,dbs/Ruminococcus_bicirculans_80_3.xml,1606.0
Ruminococcus_champanellensis_18P13,Ruminococcus_champanellensis,dbs/Ruminococcus_champanellensis_18P13.xml,50.0
Eubacterium_hallii_L2_7,Eubacterium_hallii,dbs/Eubacterium_hallii_L2_7.xml,629.0
Eubacterium_eligens_ATCC_27750,Eubacterium_eligens,dbs/Eubacterium_eligens_ATCC_27750.xml,425.0
Eubacterium_limosum_KIST612,Eubacterium_limosum,dbs/Eubacterium_limosum_KIST612.xml,40.0
Eubacterium_cellulosolvens_6,Eubacterium_cellulosolvens,dbs/Eubacterium_cellulosolvens_6.xml,34.0
Clostridium_difficile_NAP07,Clostridium_difficile,dbs/Clostridium_difficile_NAP07.xml,210.0
Flavonifractor_plautii_ATCC_29863,Flavonifractor_plautii,dbs/Flavonifractor_plautii_ATCC_29863.xml,112.0
Streptococcus_salivarius_JIM8777,Streptococcus_salivarius,dbs/Streptococcus_salivarius_JIM8777.xml,603.0
Streptococcus_thermophilus_LMG_18311,Streptococcus_thermophilus,dbs/Streptococcus_thermophilus_LMG_18311.xml,225.0
Streptococcus_parasanguinis_ATCC_903,Streptococcus_parasanguinis,dbs/Streptococcus_parasanguinis_ATCC_903.xml,68.0
Enterococcus_faecium_TX1330,Enterococcus_faecium,dbs/Enterococcus_faecium_TX1330.xml,64.0
Lactobacillus_rhamnosus_GG_ATCC_53103,Lactobacillus_rhamnosus,dbs/Lactobacillus_rhamnosus_GG_ATCC_53103.xml,36.0
Veillonella_parvula_Te3_DSM_2008,Veillonella_parvula,dbs/Veillonella_parvula_Te3_DSM_2008.xml,39.0
Bifidobacterium_adolescentis_ATCC_15703,Bifidobacterium_adolescentis,dbs/Bifidobacterium_adolescentis_ATCC_15703.xml,1018.0
Bifidobacterium_longum_DJO10A,Bifidobacterium_longum,dbs/Bifidobacterium_longum_DJO10A.xml,568.0
Bifidobacterium_catenulatum_DSM_16992,Bifidobacterium_catenulatum,dbs/Bifidobacterium_catenulatum_DSM_16992.xml,110.0
Bifidobacterium_pseudocatenulatum_DSM_20438,Bifidobacterium_pseudocatenulatum,dbs/Bifidobacterium_pseudocatenulatum_DSM_20438.xml,39.0
Bifidobacterium_kashiwanohense_DSM_21854,Bifidobacterium_kashiwanohense,dbs/Bifidobacterium_kashiwanohense_DSM_21854.xml,37.0
Adlercreutzia_equolifaciens_DSM_19450,Adlercreutzia_equolifaciens,dbs/Adlercreutzia_equolifaciens_DSM_19450.xml,262.0
Bacteroides_vulgatus_ATCC_8482,Bacteroides_vulgatus,dbs/Bacteroides_vulgatus_ATCC_8482.xml,5056.0
Bacteroides_caccae_ATCC_43185,Bacteroides_caccae,dbs/Bacteroides_caccae_ATCC_43185.xml,934.0
Bacteroides_ovatus_SD_CC_2a,Bacteroides_ovatus,dbs/Bacteroides_ovatus_SD_CC_2a.xml,794.0
Bacteroides_fragilis_NCTC_9343,Bacteroides_fragilis,dbs/Bacteroides_fragilis_NCTC_9343.xml,431.0
Bacteroides_thetaiotaomicron_VPI_5482,Bacteroides_thetaiotaomicron,dbs/Bacteroides_thetaiotaomicron_VPI_5482.xml,349.0
Bacteroides_dorei_DSM_17855,Bacteroides_dorei,dbs/Bacteroides_dorei_DSM_17855.xml,273.0
Bacteroides_cellulosilyticus_DSM_14838,Bacteroides_cellulosilyticus,dbs/Bacteroides_cellulosilyticus_DSM_14838.xml,126.0
Parabacteroides_distasonis_ATCC_8503,Parabacteroides_distasonis,dbs/Parabacteroides_distasonis_ATCC_8503.xml,215.0
Alistipes_finegoldii_DSM_17242,Alistipes_finegoldii,dbs/Alistipes_finegoldii_DSM_17242.xml,379.0
Alistipes_shahii_WAL_8301,Alistipes_shahii,dbs/Alistipes_shahii_WAL_8301.xml,52.0
Odoribacter_splanchnicus_1651_6_DSM_20712,Odoribacter_splanchnicus,dbs/Odoribacter_splanchnicus_1651_6_DSM_20712.xml,308.0
Haemophilus_parainfluenzae_T3T1,Haemophilus_parainfluenzae,dbs/Haemophilus_parainfluenzae_T3T1.xml,124.0
