id,species,file,abundance
Eubacterium_rectale_M104_1,Eubacterium_rectale,dbs/Eubacterium_rectale_M104_1.xml,1815.0
Anaerostipes_hadrus_DSM_3319,Anaerostipes_hadrus,dbs/Anaerostipes_hadrus_DSM_3319.xml,202.0
Clostridium_bolteae_ATCC_BAA_613,Clostridium_bolteae,dbs/Clostridium_bolteae_ATCC_BAA_613.xml,74.0
Roseburia_hominis_A2_183,Roseburia_hominis,dbs/Roseburia_hominis_A2_183.xml,145.0
Blautia_hansenii_VPI_C7_24_DSM_20583,Blautia_hansenii,dbs/Blautia_hansenii_VPI_C7_24_DSM_20583.xml,45.0
Ruminococcus_bicirculans_80_3,Ruminococcus_bicirculans,dbs/Ruminococcus_bicirculans_80_3.xml,206.0
Ruminococcus_champanellensis_18P13,Ruminococcus_champanellensis,dbs/Ruminococcus_champanellensis_18P13.xml,7.0
Eubacterium_hallii_L2_7,Eubacterium_hallii,dbs/Eubacterium_hallii_L2_7.xml,127.0
Eubacterium_eligens_ATCC_27750,Eubacterium_eligens,dbs/Eubacterium_eligens_ATCC_27750.xml,71.0
Eubacterium_cellulosolvens_6,Eubacterium_cellulosolvens,dbs/Eubacterium_cellulosolvens_6.xml,8.0
Clostridium_difficile_NAP07,Clostridium_difficile,dbs/Clostridium_difficile_NAP07.xml,70.0
Flavonifractor_plautii_ATCC_29863,Flavonifractor_plautii,dbs/Flavonifractor_plautii_ATCC_29863.xml,20.0
Streptococcus_salivarius_JIM8777,Streptococcus_salivarius,dbs/Streptococcus_salivarius_JIM8777.xml,63.0
Streptococcus_parasanguinis_ATCC_903,Streptococcus_parasanguinis,dbs/Streptococcus_parasanguinis_ATCC_903.xml,31.0
Enterococcus_faecium_TX1330,Enterococcus_faecium,dbs/Enterococcus_faecium_TX1330.xml,25.0
Bifidobacterium_longum_DJO10A,Bifidobacterium_longum,dbs/Bifidobacterium_longum_DJO10A.xml,555.0
Bifidobacterium_adolescentis_ATCC_15703,Bifidobacterium_adolescentis,dbs/Bifidobacterium_adolescentis_ATCC_15703.xml,407.0
Bifidobacterium_pseudocatenulatum_DSM_20438,Bifidobacterium_pseudocatenulatum,dbs/Bifidobacterium_pseudocatenulatum_DSM_20438.xml,80.0
Bifidobacterium_catenulatum_DSM_16992,Bifidobacterium_catenulatum,dbs/Bifidobacterium_catenulatum_DSM_16992.xml,34.0
Bifidobacterium_kashiwanohense_DSM_21854,Bifidobacterium_kashiwanohense,dbs/Bifidobacterium_kashiwanohense_DSM_21854.xml,27.0
Bifidobacterium_breve_HPH0326,Bifidobacterium_breve,dbs/Bifidobacterium_breve_HPH0326.xml,9.0
Bifidobacterium_bifidum_S17,Bifidobacterium_bifidum,dbs/Bifidobacterium_bifidum_S17.xml,8.0
Bifidobacterium_animalis_lactis_CNCM_I_2494,Bifidobacterium_animalis,dbs/Bifidobacterium_animalis_lactis_CNCM_I_2494.xml,7.0
Adlercreutzia_equolifaciens_DSM_19450,Adlercreutzia_equolifaciens,dbs/Adlercreutzia_equolifaciens_DSM_19450.xml,54.0
Gordonibacter_pamelaeae_7_10_1_bT_DSM_19378,Gordonibacter_pamelaeae,dbs/Gordonibacter_pamelaeae_7_10_1_bT_DSM_19378.xml,9.0
Bacteroides_vulgatus_ATCC_8482,Bacteroides_vulgatus,dbs/Bacteroides_vulgatus_ATCC_8482.xml,518.0
Bacteroides_ovatus_SD_CC_2a,Bacteroides_ovatus,dbs/Bacteroides_ovatus_SD_CC_2a.xml,134.0
Bacteroides_caccae_ATCC_43185,Bacteroides_caccae,dbs/Bacteroides_caccae_ATCC_43185.xml,68.0
Bacteroides_dorei_DSM_17855,Bacteroides_dorei,dbs/Bacteroides_dorei_DSM_17855.xml,31.0
Bacteroides_thetaiotaomicron_VPI_5482,Bacteroides_thetaiotaomicron,dbs/Bacteroides_thetaiotaomicron_VPI_5482.xml,30.0
Bacteroides_fragilis_NCTC_9343,Bacteroides_fragilis,dbs/Bacteroides_fragilis_NCTC_9343.xml,29.0
Bacteroides_cellulosilyticus_DSM_14838,Bacteroides_cellulosilyticus,dbs/Bacteroides_cellulosilyticus_DSM_14838.xml,21.0
Parabacteroides_distasonis_ATCC_8503,Parabacteroides_distasonis,dbs/Parabacteroides_distasonis_ATCC_8503.xml,25.0
Alistipes_finegoldii_DSM_17242,Alistipes_finegoldii,dbs/Alistipes_finegoldii_DSM_17242.xml,12.0
Alistipes_shahii_WAL_8301,Alistipes_shahii,dbs/Alistipes_shahii_WAL_8301.xml,7.0
Odoribacter_splanchnicus_1651_6_DSM_20712,Odoribacter_splanchnicus,dbs/Odoribacter_splanchnicus_1651_6_DSM_20712.xml,13.0
Haemophilus_parainfluenzae_T3T1,Haemophilus_parainfluenzae,dbs/Haemophilus_parainfluenzae_T3T1.xml,31.0
Campylobacter_coli_JV20,Campylobacter_coli,dbs/Campylobacter_coli_JV20.xml,7.0
